,Cross-1,Cross-2,Cross-3,Cross-4,Cross-5,Cross-6,Cross-7,Cross-8,Cross-9,Cross-10,Average accuracy
0,0.75,0.725,0.675,0.725,0.675,0.75,0.75,0.75,0.725,0.675,0.72
1,0.85,0.775,0.85,0.975,0.875,0.95,0.85,0.875,0.85,0.85,0.87
2,0.775,0.75,0.75,0.725,0.65,0.825,0.7,0.75,0.675,0.8,0.74
3,0.775,0.85,0.825,0.8,0.775,0.675,0.85,0.725,0.75,0.8,0.7825
4,0.8,0.8,0.7,0.725,0.725,0.8,0.75,0.8,0.775,0.775,0.765
5,0.85,0.725,0.775,0.775,0.625,0.825,0.825,0.8,0.725,0.725,0.765
6,0.75,0.775,0.8,0.775,0.725,0.875,0.775,0.8,0.7,0.825,0.78
7,0.725,0.65,0.725,0.775,0.675,0.675,0.825,0.85,0.625,0.75,0.7275
8,0.8,0.85,0.775,0.775,0.775,0.825,0.8,0.85,0.825,0.9,0.8175
9,0.7,0.775,0.775,0.8,0.775,0.8,0.725,0.85,0.775,0.725,0.77
10,0.85,0.775,0.8,0.725,0.725,0.75,0.65,0.75,0.7,0.8,0.7525
11,0.775,0.875,0.875,0.8,0.8,0.825,0.9,0.825,0.775,0.825,0.8275
12,0.7,0.7,0.7,0.7,0.675,0.725,0.725,0.75,0.725,0.65,0.705
13,0.8,0.725,0.825,0.75,0.725,0.625,0.675,0.675,0.7,0.75,0.725
14,0.7,0.75,0.675,0.75,0.725,0.675,0.65,0.675,0.725,0.625,0.695
15,0.7,0.725,0.675,0.7,0.675,0.65,0.7,0.75,0.775,0.7,0.705
16,0.825,0.775,0.8,0.75,0.775,0.8,0.775,0.825,0.725,0.775,0.7825
17,0.65,0.725,0.725,0.775,0.65,0.8,0.725,0.75,0.6,0.7,0.71
18,0.85,0.85,0.9,0.925,0.8,0.725,0.85,0.95,0.875,0.9,0.8625
19,0.775,0.725,0.7,0.75,0.725,0.825,0.8,0.75,0.675,0.7,0.7425
Average accuracy,0.77,0.7649999999999999,0.76625,0.7737499999999999,0.7275000000000001,0.77,0.765,0.7875,0.735,0.7625,0.7622500000000001
