,Cross-1,Cross-2,Cross-3,Cross-4,Cross-5,Cross-6,Cross-7,Cross-8,Cross-9,Cross-10,Average accuracy
0,0.4642857142857143,0.4642857142857143,0.5357142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.5,0.4642857142857143,0.5,0.5071
1,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.5357142857142857,0.6428571428571429,0.6179
2,0.5357142857142857,0.5,0.6428571428571429,0.5357142857142857,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.5,0.5464
3,0.4642857142857143,0.4642857142857143,0.5357142857142857,0.5,0.4642857142857143,0.4642857142857143,0.5,0.5,0.4642857142857143,0.5357142857142857,0.4893
4,0.5357142857142857,0.5714285714285714,0.5,0.5,0.4642857142857143,0.5357142857142857,0.42857142857142855,0.42857142857142855,0.5,0.6428571428571429,0.5107
5,0.6071428571428571,0.6071428571428571,0.6785714285714286,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.5357142857142857,0.5,0.6071428571428571,0.5714285714285714,0.5714
6,0.6071428571428571,0.4642857142857143,0.6071428571428571,0.5714285714285714,0.42857142857142855,0.6071428571428571,0.4642857142857143,0.5,0.5357142857142857,0.5714285714285714,0.5357
7,0.5357142857142857,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.4642857142857143,0.6071428571428571,0.4642857142857143,0.6785714285714286,0.6428571428571429,0.6
8,0.6785714285714286,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.6785714285714286,0.5714285714285714,0.5714285714285714,0.6785714285714286,0.625
9,0.4642857142857143,0.5357142857142857,0.5,0.5357142857142857,0.5357142857142857,0.5714285714285714,0.4642857142857143,0.5714285714285714,0.5357142857142857,0.4642857142857143,0.5179
10,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.5,0.5,0.6071428571428571,0.6428571428571429,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5607
11,0.42857142857142855,0.5357142857142857,0.4642857142857143,0.4642857142857143,0.5357142857142857,0.42857142857142855,0.5,0.4642857142857143,0.42857142857142855,0.5,0.475
12,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.6785714285714286,0.5357142857142857,0.5929
13,0.42857142857142855,0.5714285714285714,0.6071428571428571,0.4642857142857143,0.5714285714285714,0.5714285714285714,0.5,0.5357142857142857,0.6071428571428571,0.42857142857142855,0.5286
14,0.6071428571428571,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.5357142857142857,0.5,0.5,0.6071428571428571,0.5714285714285714,0.5357142857142857,0.5536
15,0.4642857142857143,0.6428571428571429,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.5357142857142857,0.5,0.39285714285714285,0.6071428571428571,0.5357142857142857,0.5357
16,0.5,0.5357142857142857,0.5,0.6428571428571429,0.5,0.5357142857142857,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5429
17,0.5,0.6785714285714286,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.7142857142857143,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.6071428571428571,0.6143
18,0.5357142857142857,0.5357142857142857,0.5,0.5,0.42857142857142855,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.4642857142857143,0.5,0.5143
19,0.5,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.4642857142857143,0.4642857142857143,0.5,0.6071428571428571,0.5536
Average accuracy,0.5285714285714286,0.5607142857142857,0.5785714285714285,0.5535714285714286,0.5375,0.5660714285714286,0.5339285714285714,0.525,0.5553571428571427,0.5571428571428572,0.54965
