,Cross-1,Cross-2,Cross-3,Cross-4,Cross-5,Cross-6,Cross-7,Cross-8,Cross-9,Cross-10,Average accuracy
0,0.8928571428571429,1.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.8928571428571429,0.8571428571428571,0.9285714285714286,0.9357
1,0.8214285714285714,0.6428571428571429,0.7857142857142857,0.75,0.75,0.6785714285714286,0.6071428571428571,0.75,0.6785714285714286,0.75,0.7214
2,0.9285714285714286,0.7857142857142857,0.6785714285714286,0.75,0.8571428571428571,0.8214285714285714,0.7857142857142857,0.75,0.75,0.8571428571428571,0.7964
3,0.8214285714285714,0.7142857142857143,0.8214285714285714,0.8214285714285714,0.7857142857142857,0.8214285714285714,0.75,0.8571428571428571,0.75,0.8928571428571429,0.8036
4,0.7857142857142857,0.75,0.8214285714285714,0.8571428571428571,0.75,0.9285714285714286,0.75,0.8571428571428571,0.8214285714285714,0.7857142857142857,0.8107
5,0.6428571428571429,0.8928571428571429,0.8214285714285714,0.8928571428571429,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.75,0.6071428571428571,0.75,0.7714
6,0.9285714285714286,0.75,0.8571428571428571,0.8928571428571429,0.8214285714285714,0.8928571428571429,0.8928571428571429,0.8214285714285714,0.7857142857142857,0.8928571428571429,0.8536
7,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.9642857142857143,0.9
8,0.7142857142857143,0.75,0.7857142857142857,0.8571428571428571,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7142857142857143,0.75,0.75,0.7357
9,0.9642857142857143,0.8214285714285714,0.8571428571428571,0.75,0.7857142857142857,0.75,0.8928571428571429,0.8571428571428571,0.6785714285714286,0.8214285714285714,0.8179
10,0.9642857142857143,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8214285714285714,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.8928571428571429,0.8679
11,0.8928571428571429,0.7857142857142857,0.8214285714285714,0.8214285714285714,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8214285714285714,0.8928571428571429,0.8179
12,0.75,0.6428571428571429,0.7857142857142857,0.8214285714285714,0.7142857142857143,0.8571428571428571,0.75,0.7142857142857143,0.7857142857142857,0.75,0.7571
13,0.9642857142857143,1.0,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9285714285714286,1.0,0.9285714285714286,0.8928571428571429,0.8928571428571429,0.9429
14,0.6785714285714286,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.8214285714285714,0.8571428571428571,0.75,0.6785714285714286,0.8214285714285714,0.8214285714285714,0.7714
15,0.7142857142857143,0.6428571428571429,0.8928571428571429,0.75,0.75,0.6428571428571429,0.6428571428571429,0.75,0.7142857142857143,0.9285714285714286,0.7429
16,0.7857142857142857,0.8214285714285714,0.7857142857142857,0.75,0.75,0.8571428571428571,0.7857142857142857,0.8928571428571429,0.8571428571428571,0.8571428571428571,0.8143
17,0.9285714285714286,0.9642857142857143,0.9285714285714286,1.0,0.9642857142857143,0.8928571428571429,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9571
18,0.6428571428571429,0.8928571428571429,0.8214285714285714,0.8214285714285714,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.7893
19,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.8214285714285714,0.7857142857142857,0.8928571428571429,0.7857142857142857,0.75,0.7857142857142857,0.8214285714285714,0.8
Average accuracy,0.8285714285714286,0.8053571428571429,0.8285714285714286,0.8446428571428573,0.8142857142857143,0.8285714285714286,0.8071428571428573,0.8107142857142857,0.7803571428571429,0.8553571428571429,0.82036
