,Cross-1,Cross-2,Cross-3,Cross-4,Cross-5,Cross-6,Cross-7,Cross-8,Cross-9,Cross-10,Average accuracy
0,0.39285714285714285,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.42857142857142855,0.39285714285714285,0.39285714285714285,0.42857142857142855,0.32142857142857145,0.4107
1,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5714285714285714,0.5,0.5357142857142857,0.5,0.5714285714285714,0.5357142857142857,0.6071428571428571,0.5643
2,0.4642857142857143,0.39285714285714285,0.5357142857142857,0.42857142857142855,0.39285714285714285,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.6071428571428571,0.39285714285714285,0.4821
3,0.39285714285714285,0.42857142857142855,0.42857142857142855,0.39285714285714285,0.42857142857142855,0.35714285714285715,0.39285714285714285,0.39285714285714285,0.42857142857142855,0.39285714285714285,0.4036
4,0.39285714285714285,0.4642857142857143,0.39285714285714285,0.35714285714285715,0.4642857142857143,0.5714285714285714,0.5,0.42857142857142855,0.4642857142857143,0.5,0.4536
5,0.5357142857142857,0.5,0.5,0.4642857142857143,0.42857142857142855,0.5357142857142857,0.5,0.35714285714285715,0.4642857142857143,0.42857142857142855,0.4714
6,0.42857142857142855,0.39285714285714285,0.5,0.4642857142857143,0.39285714285714285,0.4642857142857143,0.42857142857142855,0.35714285714285715,0.39285714285714285,0.42857142857142855,0.425
7,0.5,0.5357142857142857,0.6071428571428571,0.42857142857142855,0.4642857142857143,0.5714285714285714,0.6785714285714286,0.5714285714285714,0.6428571428571429,0.42857142857142855,0.5429
8,0.5,0.5,0.6785714285714286,0.5357142857142857,0.5,0.5357142857142857,0.5357142857142857,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.5464
9,0.4642857142857143,0.42857142857142855,0.39285714285714285,0.5,0.5357142857142857,0.5,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.4642857142857143,0.4464
10,0.5357142857142857,0.4642857142857143,0.42857142857142855,0.5,0.5357142857142857,0.4642857142857143,0.5357142857142857,0.5,0.35714285714285715,0.5,0.4821
11,0.39285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.4642857142857143,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.4143
12,0.42857142857142855,0.5714285714285714,0.5357142857142857,0.39285714285714285,0.5357142857142857,0.5357142857142857,0.5,0.5357142857142857,0.5357142857142857,0.4642857142857143,0.5036
13,0.4642857142857143,0.39285714285714285,0.5357142857142857,0.5714285714285714,0.42857142857142855,0.5,0.39285714285714285,0.5714285714285714,0.39285714285714285,0.4642857142857143,0.4714
14,0.6071428571428571,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.4642857142857143,0.42857142857142855,0.42857142857142855,0.5357142857142857,0.5357142857142857,0.5714285714285714,0.5179
15,0.5,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.39285714285714285,0.42857142857142855,0.2857142857142857,0.39285714285714285,0.5,0.42857142857142855,0.4214
16,0.5,0.6071428571428571,0.5357142857142857,0.39285714285714285,0.5357142857142857,0.39285714285714285,0.5,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.4786
17,0.42857142857142855,0.5,0.6071428571428571,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.5714285714285714,0.5714285714285714,0.5464
18,0.5714285714285714,0.39285714285714285,0.4642857142857143,0.5,0.42857142857142855,0.39285714285714285,0.35714285714285715,0.42857142857142855,0.39285714285714285,0.39285714285714285,0.4321
19,0.42857142857142855,0.5,0.5714285714285714,0.6785714285714286,0.42857142857142855,0.5357142857142857,0.42857142857142855,0.5357142857142857,0.5714285714285714,0.5357142857142857,0.5214
Average accuracy,0.4767857142857143,0.47857142857142854,0.5071428571428571,0.4767857142857143,0.4625,0.4821428571428571,0.46607142857142864,0.47321428571428575,0.47678571428571426,0.46785714285714286,0.47678000000000004
